Money Available,Password,Last Name,ID,Cars Purchased,First Name,Username,MinerCars Membership
41237.47,Hn)0pf5q,Granger,1,0,Hermione,hermionegranger,True
13102.61,aNgb9jkE,Bourne,2,1,Jason,jasonbourne,True
45381.68,03#oxBYW,Baggins,3,0,Frodo,frodobaggins,False
41552.72,KVyCOGc*,Smith,4,0,Yoda,yoda,False
31633.09,2Lob0Zfa,America,5,0,Captain,captainamerica,True
22545.97,#A2UjgVh,Holmes,6,0,Sherlock,sherlockholmes,True
48819.72,L8GKCj$A,Miller,7,0,Neo,neo,True
25338.27,3*Gts&4X,Jack Sparrow,8,0,Captain,captainjacksparrow,False
43657.68,3@H$PHpp,Finch,9,0,Atticus,atticusfinch,False
17855.20,YQoQ3LH3,T. Kirk,10,0,James,jamest.kirk,False
45137.80,SucLrbjh,Wilson,11,0,Wolverine,wolverine,False
35888.84,Qa8b!@)k,Williams,12,0,Gandalf,gandalf,False
35258.16,WUa9@NUG,Wick,13,0,John,johnwick,True
22035.25,bmQ@0CrZ,Stark,14,0,Tony,tonystark,True
17044.39,Sma0y*cV,Balboa,15,0,Rocky,rockybalboa,False
24267.18,Fl&^mI*Y,Skywalker,16,0,Luke,lukeskywalker,False
24224.76,1IZgnN1(,Wilson,17,0,Morpheus,morpheus,True
41234.53,ut@zVg$i,Montana,18,0,Tony,tonymontana,True
43288.00,P8A)art(,Miller,19,0,Batman,batman,False
33671.70,SgSj29cv,Bates,20,0,Norman,normanbates,False
27324.29,cstk@z!6,Moore,21,0,E.T.,e.t.,True
26291.92,yCTnezqK,Chan,22,0,Jackie,jackiechan,False
36835.98,eT47a5mQ,Bickle,23,0,Travis,travisbickle,False
46816.13,6EJQon4R,Solo,24,0,Han,hansolo,True
25557.28,1kfbNp2W,Bond,25,0,James,jamesbond,False
27073.63,E6l1WgpH,Lecter,26,0,Hanibal,haniballecter,False
18758.73,z@Uei505,Everdeen,27,0,Katniss,katnisseverdeen,True
20920.25,xEj4#TAs,Moore,28,0,Thor,thor,False
46552.38,OoU6bx29,Smith,29,0,Spider-Man,spider-man,True
46780.98,l$lqW*w0,Corleone,30,0,Michael,michaelcorleone,False
27263.78,okjgX&kI,Ripley,31,0,Ellen,ellenripley,True
15981.21,QV#Tb!9&,Woman,32,0,Wonder,wonderwoman,False
45165.51,mLY9h3aK,Gale,33,0,Dorothy,dorothygale,True
36818.93,McxFb#wZ,Vader,34,0,Darth,darthvader,False
23411.20,KjHw49b0,Potter,35,0,Harry,harrypotter,True
35848.75,Lxt0JrZ%,Blaine,36,0,Rick,rickblaine,False
675433.55,gnslgn67,Bond,37,2,James,jamesbond,True
